;UT;precision;pressure;duration;acceleration;rotation;magneticField
197;UT2;15.007282055419012;0.15686275;87000;7.839701843254964;0.14735706045709432;43.4495486886803
198;UT2;26.59553554419435;0.23137257;92000;8.518340367225251;0.5704601503518022;43.48859405062436
199;UT2;15.319701391162962;0.16470589;80000;7.8766574046795625;0.36205955832309517;43.26160429584183
200;UT2;26.323564992986807;0.17254902;94000;7.3115213888296315;0.4356295719566396;43.68302909883883
201;UT2;38.36093511436345;0.21176472;103000;8.064747923516318;0.53147622616182;43.99991122150134
202;UT2;25.40368532024445;0.098039225;60000;7.835498473402122;0.4987670372166848;43.50758734117533
203;UT2;37.645373886250596;0.21568629;77000;8.14729063051109;0.1893792103758019;43.207981756846735
204;UT2;32.38580993228354;0.07058824;55000;7.348534395037494;1.153989641731842;43.55649169469461
205;UT2;40.547924823689804;0.227451;76000;7.946817272427437;0.1542862361265225;43.42324406351971
206;UT2;23.017367497174746;0.06666667;38000;7.9168048554971024;0.4776202041826469;43.85238020906049
207;UT2;64.82088533003541;0.23529413;68000;7.779760471780365;0.2532235678815474;43.10348195041788
208;UT2;29.020546581820348;0.0627451;60000;7.62583685089648;0.22716764611199974;43.40313388742799
209;UT2;73.88948552534387;0.23529413;82000;7.956861311387096;0.5139132582190957;43.12672098015336
210;UT2;15.166092853797245;0.15294118;96000;6.5723212601420276;0.4894546318309617;42.647812810271994
211;UT2;75.79728228986843;0.25882354;117000;7.189731953981238;0.4122082832439937;42.73501199251031
212;UT2;18.49195127859691;0.121568635;96000;7.034027594103653;0.2597704356265568;42.36790132281749
213;UT2;18.498735451105897;0.18039216;106000;8.071855993547524;0.21261319438426207;42.56474847218059
214;UT2;55.669774381534005;0.15686275;96000;7.976065074476526;0.2805955809977457;42.234187129622846
215;UT2;13.173120301769808;0.15294118;103000;7.787700528498726;0.18955569172628828;41.75458432914882
216;UT2;62.903434969368725;0.098039225;63000;7.152090845053129;0.1070331551747126;41.994279744389
217;UT2;17.287619071751866;0.10588236;75000;7.295921564558103;0.11420582319027625;41.98651197110806
218;UT2;63.49765774834845;0.14509805;70000;6.94593163986828;0.18660872406642676;42.4658410519561
219;UT2;24.594811267655608;0.09019608;70000;7.528686377820527;0.15189101475104677;43.06798767646336
